date,symbol,last_price_at_open,avg_vol_14d,atr_14d,rvol_first_candle,or_high,or_low,or_range,or_range_pct_of_price,first_candle_close_color,direction_bias,status,entry_time_et,entry_price,stop_price,stop_style,target_price,target_r_multiple,shares,risk_dollars,risk_pct_equity,exit_time_et,exit_price,realized_pnl,r_multiple_realized,reason_pass_fail,notes
2026-09-15,GAIN,16.08,172000,0.25,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.17M<1M),watchlist
2026-09-15,LCID,4.16,12430000,0.34,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5),watchlist
2026-09-15,REGN,791.39,605000,20.33,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.60M<1M),watchlist
2026-09-15,WY,22.30,4945000,0.44,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(atr_14d~0.44<0.50),watchlist
2026-09-15,WFG,70.56,211000,2.06,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.21M<1M),watchlist
2026-09-15,AMC,2.50,22049000,0.17,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5),watchlist
2026-09-15,NOK,9.85,69100000,0.46,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(atr_14d~0.46<0.50),watchlist
2026-09-15,NIO,3.68,43887000,0.16,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5),watchlist
2026-09-15,BB,7.77,9290000,0.36,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(atr_14d~0.36<0.50),watchlist
2026-09-15,DRIV,33.16,31000,0.53,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(avg_vol_14d~0.03M<1M),watchlist
2026-09-15,BLNK,0.54,1263000,0.03,,,,,,,,skipped,,,,,,,,,,,,,,fail_universe(price<$5),watchlist
2026-09-15,MRK,144.33,8819000,3.51,0.301,,,,,,,skipped,,,,,,,,,,,,,,pass_universe;fail_rvol(30.1%<100%),watchlist; OR candle formed but rvol below threshold - never entered watching
2026-09-15,TTWO,221.00,2815000,8.27,0.848,,,,,,,skipped,,,,,,,,,,,,,,pass_universe;fail_rvol(84.8%<100%),watchlist; OR candle formed but rvol below threshold - never entered watching
